guid,CustomerDevelopmentScore,PerformancedScore,LivenessScore,totalScore,CustomerDevelopmentScoreRadar,PerformancedScoreRadar,LivenessScoreRadar,totalScoreRadar,BrokerLevelFlag,update_time
1340512336997081089,0,0,0,0,48,52,44,51,A,2020-12-22
1340235144765280257,0,0,0,0,48,52,42,51,A,2020-12-22
1276343897202761730,0,0,0,0,48,52,38,50,A,2020-12-22
1338866240142872577,0,0,0,0,48,52,37,50,A,2020-12-22
1276346634539769858,0,0,0,0,48,52,35,50,A,2020-12-22
1338339047373467649,0,0,0,0,48,52,35,50,A,2020-12-22
1337284836795953154,0,0,0,0,48,52,33,50,A,2020-12-22
1336207273828974594,0,0,0,0,48,52,31,50,A,2020-12-22
1336227926401552386,0,0,0,0,48,52,31,50,A,2020-12-22
1336219939454660609,0,0,0,0,48,52,31,50,A,2020-12-22
1334402533962698753,0,0,0,0,48,52,25,50,B,2020-12-22
1333273865794433025,0,0,0,0,48,52,21,50,B,2020-12-22
1333290367742267394,0,0,0,0,48,52,21,50,B,2020-12-22
1304041943050887168,0,0,0,0,48,52,17,49,B,2020-12-22
1331516337983262721,0,0,0,0,48,52,17,49,B,2020-12-22
1286254743026540549,0,0,0,0,48,52,17,49,B,2020-12-22
1276340306744320008,0,0,0,0,48,52,13,49,B,2020-12-22
1282192983915110400,0,0,0,0,48,52,11,49,B,2020-12-22
1276412933387198467,0,0,0,0,48,52,10,49,B,2020-12-22
1276347059422765067,0,0,0,0,48,52,10,49,B,2020-12-22
1276352990302838788,0,0,0,0,48,52,10,49,B,2020-12-22
1282963071723249664,0,0,0,0,48,52,10,49,B,2020-12-22
1276345383668293640,0,0,0,0,48,52,10,49,B,2020-12-22
1276358501865758729,0,0,0,0,48,52,10,49,B,2020-12-22
1283234842376544262,0,0,0,0,48,52,10,49,B,2020-12-22
1276345580439871500,0,0,0,0,48,52,10,49,B,2020-12-22
1276415326384431115,0,0,0,0,48,52,10,49,B,2020-12-22
1297367966224097282,0,0,0,0,48,52,10,49,B,2020-12-22
1276404370086436864,0,0,0,0,48,52,10,49,B,2020-12-22
1297458562582323208,0,0,0,0,48,52,10,49,B,2020-12-22
1303619158742802436,0,0,0,0,48,52,10,49,B,2020-12-22
1276398631154491394,0,0,0,0,48,52,10,49,B,2020-12-22
1276364886934429697,0,0,0,0,48,52,10,49,B,2020-12-22
1276411178712702983,0,0,0,0,48,52,10,49,B,2020-12-22
1287281507270008837,0,0,0,0,48,52,10,49,B,2020-12-22
1276339766664765457,0,0,0,0,48,52,10,49,B,2020-12-22
1310413928597168132,0,0,0,0,48,52,10,49,B,2020-12-22
1276341133189980177,0,0,0,0,48,52,10,49,B,2020-12-22
1276400129867390976,0,0,0,0,48,52,10,49,B,2020-12-22
1276357332166647813,0,0,0,0,48,52,10,49,B,2020-12-22
1276340624961970176,0,0,0,0,48,52,10,49,B,2020-12-22
1276353033986514958,0,0,0,0,48,52,10,49,B,2020-12-22
1321345965210345481,0,0,0,0,48,52,10,49,B,2020-12-22
1276392761284763651,0,0,0,0,48,52,10,49,B,2020-12-22
1276384183652065289,0,0,0,0,48,52,10,49,B,2020-12-22
1276338270803992591,0,0,0,0,48,52,10,49,B,2020-12-22
1276351866959175695,0,0,0,0,48,52,10,49,B,2020-12-22
1320666484766285832,0,0,0,0,48,52,10,49,B,2020-12-22
1290573202237562884,0,0,0,0,48,52,10,49,B,2020-12-22
1276347927001964561,0,0,0,0,48,52,10,49,B,2020-12-22
1276410801716076551,0,0,0,0,48,52,10,49,B,2020-12-22
1321059073990467588,0,0,0,0,48,52,10,49,B,2020-12-22
1276345354312359938,0,0,0,0,48,52,10,49,B,2020-12-22
1279792156562825217,0,0,0,0,48,52,10,49,B,2020-12-22
1276349718615695375,0,0,0,0,48,52,10,49,B,2020-12-22
1299376200489246728,0,0,0,0,48,52,10,49,B,2020-12-22
1276370984357732361,0,0,0,0,48,52,10,49,B,2020-12-22
1276355554264096768,0,0,0,0,48,52,10,49,B,2020-12-22
1276345665210949638,0,0,0,0,48,52,10,49,B,2020-12-22
1276370608619397121,0,0,0,0,48,52,10,49,B,2020-12-22
1290950683973001217,0,0,0,0,48,52,10,49,B,2020-12-22
1290950684358877188,0,0,0,0,48,52,10,49,B,2020-12-22
1302109208354889733,0,0,0,0,48,52,10,49,B,2020-12-22
1276351876648017925,0,0,0,0,48,52,10,49,B,2020-12-22
1276358072666824716,0,0,0,0,48,52,10,49,B,2020-12-22
1341184956249878529,0,0,0,0,48,52,10,49,B,2020-12-22
1276382049019764745,0,0,0,0,48,52,10,49,B,2020-12-22
1276374523687608330,0,0,0,0,48,52,10,49,B,2020-12-22
1276382737040809997,0,0,0,0,48,52,10,49,B,2020-12-22
1305763286393954308,0,0,0,0,48,52,10,49,B,2020-12-22
1306170972121997320,0,0,0,0,48,52,10,49,B,2020-12-22
1276380302935203843,0,0,0,0,48,52,10,49,B,2020-12-22
1290995981827055624,0,0,0,0,48,52,10,49,B,2020-12-22
1276342310661136384,0,0,0,0,48,52,10,49,B,2020-12-22
1280094147776225283,0,0,0,0,48,52,10,49,B,2020-12-22
